"Dish Name,States (Commonly Found In),Area Type (Rural/Urban/Both),Diet Type,Income Range (Commonly Consumed By)"
"Dum aloo,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Spinach paneer (Palak paneer),Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,3-6L;>6L"
"Methi chaman,Kashmir;Delhi;Punjab;Haryana;Uttar Pradesh,both,Vegetarian,3-6L;>6L"
"Sarson ka saag,Punjab;Haryana;Delhi;Uttar Pradesh;Himachal Pradesh,both,Vegetarian,1-3L;3-6L"
"Jackfruit sabzi (Kathal ki sabzi),Uttar Pradesh;Bihar;West Bengal;Jharkhand;Odisha,both,Vegetarian,1-3L;3-6L"
"Avial,Kerala;Tamil Nadu;Karnataka;Andhra Pradesh;Goa,both,Vegetarian,1-3L;3-6L"
"Al yakhani,Jammu and Kashmir;Ladakh,urban,Non-Vegetarian,3-6L;>6L"
"Shahi paneer,Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,3-6L;>6L"
"Paneer in butter sauce,Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,3-6L;>6L"
"Methi malai paneer,Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,3-6L;>6L"
"Chilli paneer,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Paneer makhana korma,Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,3-6L;>6L"
"Kadhai Paneer,All Indian States and UTs,both,Vegetarian,3-6L;>6L"
"Roghan josh,Jammu and Kashmir;Delhi;Punjab;Haryana;Uttar Pradesh,both,Non-Vegetarian,3-6L;>6L"
"Spinach mutton (Palak mutton),Delhi;Punjab;Haryana;Uttar Pradesh;Kashmir,both,Non-Vegetarian,3-6L;>6L"
"Pea keema curry (Matar keema ki sabzi),Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Non-Vegetarian,3-6L"
"Keema kofta curry,Delhi;Lucknow;Hyderabad;Kolkata;Mumbai,both,Non-Vegetarian,3-6L;>6L"
"Kashmiri mutton koftas (Gushtaba),Jammu and Kashmir;Ladakh,urban,Non-Vegetarian,3-6L;>6L"
"Mutton yakhni,Jammu and Kashmir;Delhi;Punjab;Haryana;Uttar Pradesh,both,Non-Vegetarian,3-6L;>6L"
"Chicken yakhni,Jammu and Kashmir;Delhi;Punjab;Haryana;Uttar Pradesh,both,Non-Vegetarian,3-6L;>6L"
"Mutton do piaza,Delhi;Lucknow;Hyderabad;Kolkata;Mumbai,both,Non-Vegetarian,3-6L;>6L"
"Mutton chops,Delhi;Lucknow;Hyderabad;Kolkata;Mumbai,urban,Non-Vegetarian,3-6L;>6L"
"Shammi kebab,Lucknow;Delhi;Hyderabad;Kolkata;Bhopal,both,Non-Vegetarian,3-6L;>6L"
"Scotch egg,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Eggitarian,3-6L;>6L"
"Shepherd's pie (with minced meat),Delhi;Mumbai;Bengaluru;Hyderabad;Goa,urban,Non-Vegetarian,3-6L;>6L"
"Chicken curry,All Indian States and UTs,both,Non-Vegetarian,1-3L;3-6L;>6L"
"Tandoori chicken,Punjab;Delhi;Haryana;Uttar Pradesh;Chandigarh,both,Non-Vegetarian,3-6L;>6L"
"Butter chicken,Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Non-Vegetarian,3-6L;>6L"
"Chicken kebab,Lucknow;Hyderabad;Delhi;Kolkata;Bhopal,both,Non-Vegetarian,3-6L;>6L"
"Chilli chicken,All Indian States and UTs,urban,Non-Vegetarian,3-6L;>6L"
"Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath),Delhi;Mumbai;Hyderabad;Kolkata;Goa,urban,Non-Vegetarian,3-6L;>6L"
"Fish curry (Machli curry),Kerala;Goa;West Bengal;Odisha;Andhra Pradesh,both,Non-Vegetarian,1-3L;3-6L;>6L"
"Fried fish (Indian style) (Tali hui machli),Kerala;Goa;West Bengal;Odisha;Maharashtra,both,Non-Vegetarian,1-3L;3-6L"
"Fried fish and Chips (English Style) (Tali hui machli aur chips),Goa;Mumbai;Bengaluru;Hyderabad;Kolkata,urban,Non-Vegetarian,3-6L;>6L"
"Tomato fish,West Bengal;Goa;Kerala;Odisha;Maharashtra,both,Non-Vegetarian,3-6L"
"Baked fish with cheese sauce,Goa;Mumbai;Bengaluru;Hyderabad;Kolkata,urban,Non-Vegetarian,3-6L;>6L"
"Fish tikka,Delhi;Mumbai;Goa;Hyderabad;Kolkata,urban,Non-Vegetarian,3-6L;>6L"
"Tandoori fish,Delhi;Mumbai;Goa;Hyderabad;Kolkata,urban,Non-Vegetarian,3-6L;>6L"
"Paneer, apple and pineapple salad,Delhi;Mumbai;Pune;Hyderabad;Bengaluru,urban,Vegetarian,3-6L;>6L"
"Russian salad,Delhi;Mumbai;Bengaluru;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Pasta salad,Delhi;Mumbai;Pune;Bengaluru;Hyderabad,urban,Vegetarian,3-6L;>6L"
"Deviled egg,Delhi;Mumbai;Kolkata;Hyderabad;Goa,urban,Eggitarian,3-6L;>6L"
"Hawain salad,Delhi;Mumbai;Bengaluru;Hyderabad;Goa,urban,Vegetarian,3-6L;>6L"
"Mixed pulse and vegetable salad,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Sprouted moong salad ,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Tossed salad,Delhi;Mumbai;Bengaluru;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Mixed vegetable salad with curd sauce,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Potato salad (Aloo ka salaad),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Waldroff salad,Delhi;Mumbai;Bengaluru;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Coleslaw,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Fruit salad (Phalon ka salaad),All Indian States and UTs,both,Vegetarian,<1L;1-3L;3-6L;>6L"
"Tomato onion raita (Tamatar aur pyaaz ka raita),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Peanut raita (Mungfali ka raita),Rajasthan;Madhya Pradesh;Gujarat;Uttar Pradesh;Delhi,both,Vegetarian,1-3L;3-6L"
"Sprouted moong raita ,Delhi;Maharashtra;Gujarat;Rajasthan;Uttar Pradesh,both,Vegetarian,1-3L;3-6L"
"Bottle gourd raita (Ghiya/Lauki ka raita),Rajasthan;Haryana;Delhi;Uttar Pradesh;Madhya Pradesh,both,Vegetarian,1-3L;3-6L"
"Cucumber raita (Kheere ka raita),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Carrot and spinach raita (Gajar aur palak ka raita),Punjab;Haryana;Delhi;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Mint raita (Pudinay ka raita),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Potato raita (Aloo ka raita),Uttar Pradesh;Rajasthan;Haryana;Delhi;Punjab,both,Vegetarian,1-3L;3-6L"
"Boondi raita,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Sweet raita (Meetha raita),Rajasthan;Haryana;Delhi;Uttar Pradesh;Punjab,both,Vegetarian,1-3L;3-6L"
"Dahi vadas/Dahi bhalla,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Gunjia,Uttar Pradesh;Bihar;Rajasthan;Madhya Pradesh;Delhi,both,Vegetarian,1-3L;3-6L"
"Saunth/Sonth chutney with tamarind/imli,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Rice kheer (Chawal ki kheer),All Indian States and UTs,both,Vegetarian,1-3L;3-6L;>6L"
"Makhana kheer,Bihar;Uttar Pradesh;Punjab;Haryana;Delhi,both,Vegetarian,1-3L;3-6L"
"Vermicelli kheer (Semiya/Seviyan ki kheer),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Semolina kheer (Suji/Rava kheer),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Paneer kheer,Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,3-6L;>6L"
"Cabbage kheer (Pattagobhi ki kheer),Kerala;Tamil Nadu;Karnataka;Andhra Pradesh;Goa,both,Vegetarian,1-3L;3-6L"
"Carrot kheer (Gajar ki kheer),Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Cauliflower kheer (Phoolgobhi ki kheer),Punjab;Haryana;Delhi;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Moong dal kheer,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Phirni,Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,3-6L;>6L"
"Semolina halwa (Suji ka halwa),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Shahi suji halwa,Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,3-6L;>6L"
"Carrot halwa (Gajar ka halwa),All Indian States and UTs,both,Vegetarian,1-3L;3-6L;>6L"
"Egg halwa (Ande ka halwa),Delhi;Hyderabad;Lucknow;Kolkata;Mumbai,urban,Eggitarian,3-6L;>6L"
"Potato halwa (Aloo ka halwa),Uttar Pradesh;Rajasthan;Madhya Pradesh;Delhi;Bihar,both,Vegetarian,1-3L;3-6L"
"Pumpkin halwa (Kaddu ka halwa),Uttar Pradesh;Rajasthan;Madhya Pradesh;Delhi;Haryana,both,Vegetarian,1-3L;3-6L"
"Moong dal halwa,Rajasthan;Punjab;Delhi;Haryana;Uttar Pradesh,both,Vegetarian,3-6L;>6L"
"Caramel custard (steamed),Delhi;Mumbai;Goa;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Baked custard,Delhi;Mumbai;Pune;Bengaluru;Kolkata,urban,Vegetarian,3-6L;>6L"
"Soft Custard (stirred),Delhi;Mumbai;Hyderabad;Kolkata;Pune,urban,Vegetarian,3-6L;>6L"
"Chocolate ice cream,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Mango ice cream,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Fruit Ice cream (Phalon ka Ice cream),All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Caramel ice cream,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Lemon souffle,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Orange souffle,Delhi;Mumbai;Bengaluru;Pune;Hyderabad,urban,Vegetarian,3-6L;>6L"
"Vanilla souffle,Delhi;Mumbai;Bengaluru;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Chocolate souffle,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Pineapple souffle ,Goa;Kerala;Maharashtra;Tamil Nadu;Karnataka,urban,Vegetarian,3-6L;>6L"
"Apple mousse,Delhi;Mumbai;Pune;Hyderabad;Bengaluru,urban,Vegetarian,3-6L;>6L"
"Rich chocolate mousse,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Mango mousse,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Orange and pineapple cream,Delhi;Mumbai;Bengaluru;Pune;Hyderabad,urban,Vegetarian,3-6L;>6L"
"Charlotte rousse,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Triffle pudding,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Snow flakes pudding,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Kulfi,All Indian States and UTs,both,Vegetarian,1-3L;3-6L;>6L"
"Steamed orange pudding,Delhi;Mumbai;Bengaluru;Hyderabad;Pune,urban,Vegetarian,3-6L;>6L"
"Meringue and rice pudding,Delhi;Mumbai;Bengaluru;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Cheese pudding,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Chocolate pudding,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Bread and butter pudding ,Delhi;Mumbai;Goa;Kolkata;Bengaluru,urban,Vegetarian,3-6L;>6L"
"Queen of pudding,Delhi;Mumbai;Kolkata;Hyderabad;Pune,urban,Vegetarian,3-6L;>6L"
"Pineapple upside down pudding,Delhi;Mumbai;Goa;Hyderabad;Bengaluru,urban,Vegetarian,3-6L;>6L"
"Date and nut pie,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Stewed apple with custard,Delhi;Mumbai;Kolkata;Pune;Bengaluru,urban,Vegetarian,3-6L;>6L"
"Apple snowballs,Delhi;Mumbai;Bengaluru;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Hot orange souffle,Delhi;Mumbai;Bengaluru;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Hot chocolate souffle,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Hot vanilla souffle,Delhi;Mumbai;Bengaluru;Hyderabad;Pune,urban,Vegetarian,3-6L;>6L"
"Plain burfi (Burfi),All Indian States and UTs,both,Vegetarian,1-3L;3-6L;>6L"
"Coconut burfi (Nariyal ki burfi),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Bottle gourd burfi (Ghiya/Lauki burfi),Rajasthan;Delhi;Haryana;Uttar Pradesh;Madhya Pradesh,both,Vegetarian,1-3L;3-6L"
"Chocolate burfi,Delhi;Mumbai;Kolkata;Hyderabad;Pune,urban,Vegetarian,3-6L;>6L"
"Cashewnut burfi (Kaju burfi/Kaju katli),All Indian States and UTs,both,Vegetarian,3-6L;>6L"
"Gram flour burfi (Besan burfi),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Semolina ladoo with khoya (Suji/Rava aur khoye ke ladoo ),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Semolina ladoo with coconut (Suji/Rava aur nariyal ke ladoo ),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Gram flour ladoo (Besan ladoo),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Sesame ladoo (Til ke ladoo),Maharashtra;Gujarat;Rajasthan;Uttar Pradesh;Madhya Pradesh,both,Vegetarian,1-3L;3-6L"
"Chenna murki,West Bengal;Odisha;Bihar;Assam;Jharkhand,both,Vegetarian,1-3L;3-6L"
"Milk cake,Uttar Pradesh;Rajasthan;Delhi;Haryana;Madhya Pradesh,both,Vegetarian,1-3L;3-6L"
"Ghujia/Lavang latika,Uttar Pradesh;Bihar;Rajasthan;Madhya Pradesh;Delhi,both,Vegetarian,1-3L;3-6L"
"Gulab Jamun with khoya,All Indian States and UTs,both,Vegetarian,1-3L;3-6L;>6L"
"Mal pua,Uttar Pradesh;Bihar;Odisha;Rajasthan;West Bengal,both,Vegetarian,1-3L;3-6L"
"Shahi tukre,Delhi;Lucknow;Hyderabad;Kolkata;Bhopal,both,Vegetarian,3-6L;>6L"
"Potato pakora/pakoda (Aloo pakoda),All Indian States and UTs,both,Vegetarian,<1L;1-3L;3-6L"
"Onion pakora/pakoda (Pyaaz ke pakode),All Indian States and UTs,both,Vegetarian,<1L;1-3L;3-6L"
"Cauliflower pakora/pakoda (Phoolgobhi ke pakode),Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Mixed vegetable pakora/pakoda,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Spinach pakora/pakoda (Palak pakoda),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Methi pakora/pakoda (Methi ke pakode),Rajasthan;Punjab;Haryana;Uttar Pradesh;Delhi,both,Vegetarian,1-3L;3-6L"
"Egg pakora/pakoda (Ande ke pakode),Delhi;Punjab;Haryana;Uttar Pradesh;Rajasthan,both,Eggitarian,1-3L;3-6L"
"Bread pakora/pakoda,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Paneer pakora/pakoda,Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,3-6L"
"Potato bonda (Aloo bonda),Maharashtra;Karnataka;Tamil Nadu;Andhra Pradesh;Telangana,both,Vegetarian,1-3L;3-6L"
"Potato samosa (Aloo ka samosa),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Minced meat samosa (Keema ka samosa),Delhi;Lucknow;Hyderabad;Bhopal;Kolkata,both,Non-Vegetarian,3-6L;>6L"
"Paneer and pea samosa (Paneer matar ka samosa),Delhi;Punjab;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,3-6L"
"Mathri,Rajasthan;Uttar Pradesh;Delhi;Haryana;Madhya Pradesh,both,Vegetarian,1-3L;3-6L"
"Khasta kachori,Rajasthan;Uttar Pradesh;Delhi;Madhya Pradesh;Bihar,both,Vegetarian,1-3L;3-6L"
"Vegetable cutlet,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Flattened rice cutlet (Chirwa cutlet/Chivda cutlet/Poha cutlet),Maharashtra;Madhya Pradesh;Chhattisgarh;Uttar Pradesh;Odisha,both,Vegetarian,1-3L;3-6L"
"Peanut cutlet (Mungfali ke cutlet),Maharashtra;Gujarat;Madhya Pradesh;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Fish cutlet (Machli ka cutlet),West Bengal;Kerala;Goa;Odisha;Andhra Pradesh,both,Non-Vegetarian,3-6L"
"Paneer potato cutlet (Paneer aloo cutlet),Delhi;Punjab;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,3-6L"
"Spinach chickpeas cutlet (Palak channa dal cutlet),Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,3-6L"
"Cheese toast,Delhi;Mumbai;Bengaluru;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Vegetable burger,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Cheese pizza,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Vegetable seekh kebab,Delhi;Lucknow;Hyderabad;Kolkata;Mumbai,both,Vegetarian,3-6L;>6L"
"Masala vada,Tamil Nadu;Karnataka;Andhra Pradesh;Telangana;Kerala,both,Vegetarian,1-3L;3-6L"
"Peanut sago vada (Sabudana mungfali vada),Maharashtra;Madhya Pradesh;Gujarat;Rajasthan;Delhi,both,Vegetarian,1-3L;3-6L"
"Vegeterian scotch egg,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Eggitarian,3-6L;>6L"
"Paneer shaslik/tikka,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Peanut brittle (Moongfali ki chikki),Maharashtra;Gujarat;Madhya Pradesh;Rajasthan;Uttar Pradesh,both,Vegetarian,1-3L;3-6L"
"Spring roll,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Dry mango chutney (Sookhe aam ki chutney),Rajasthan;Madhya Pradesh;Uttar Pradesh;Gujarat;Delhi,both,Vegetarian,1-3L;3-6L"
"Peanut chutney (Mungfali ki chutney),Maharashtra;Andhra Pradesh;Telangana;Karnataka;Tamil Nadu,both,Vegetarian,1-3L;3-6L"
"Coconut chutney (Nariyal ki chutney),Tamil Nadu;Kerala;Karnataka;Andhra Pradesh;Telangana,both,Vegetarian,1-3L;3-6L"
"Mint and coriander chutney (Pudinay aur dhaniye ki chutney),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Custard tart,Delhi;Mumbai;Hyderabad;Kolkata;Pune,urban,Vegetarian,3-6L;>6L"
"Lemon tart,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Jam tart,Delhi;Mumbai;Pune;Hyderabad;Bengaluru,urban,Vegetarian,3-6L;>6L"
"Orange cream tart,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Pineapple tart,Goa;Mumbai;Kerala;Karnataka;Tamil Nadu,urban,Vegetarian,3-6L;>6L"
"Cheese and mushroom tart,Delhi;Mumbai;Hyderabad;Pune;Bengaluru,urban,Vegetarian,3-6L;>6L"
"Cottage cheese pie,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Minced meat pie,Delhi;Mumbai;Goa;Hyderabad;Kolkata,urban,Non-Vegetarian,3-6L;>6L"
"Apple cinnamon pie,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Lemon meringue pie,Delhi;Mumbai;Bengaluru;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Chocolate meringue pie,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Cream puffs,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Chocolate eclairs,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Cheese balls,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Minced meat patties,Delhi;Mumbai;Kolkata;Hyderabad;Goa,urban,Non-Vegetarian,3-6L;>6L"
"Cheese patties,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Hot cheese souffle,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Hot potato souffle,Delhi;Mumbai;Bengaluru;Pune;Hyderabad,urban,Vegetarian,3-6L;>6L"
"Hot fish souffle,Delhi;Mumbai;Hyderabad;Kolkata;Goa,urban,Non-Vegetarian,3-6L;>6L"
"Hot spinach souffle,Delhi;Mumbai;Bengaluru;Pune;Hyderabad,urban,Vegetarian,3-6L;>6L"
"Plain cream cake,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Apple cake (Seb ka cake),Delhi;Mumbai;Kolkata;Pune;Bengaluru,urban,Vegetarian,3-6L;>6L"
"Marble cake,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Chocolate cake,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Orange cake,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Fruit Loaf ,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Banana cake (Kele ka cake),Kerala;Goa;Tamil Nadu;Karnataka;Maharashtra,both,Vegetarian,1-3L;3-6L"
"Chocolate chiffon cake,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Christmas cake,Goa;Kerala;Tamil Nadu;Karnataka;Maharashtra,both,Vegetarian,3-6L;>6L"
"Strawberry and vanilla cake with butter icing,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Eggless cake,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Swiss roll,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Pineapple pastry ,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Black forest pastry,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Coconut finger,Kerala;Goa;Maharashtra;Tamil Nadu;Karnataka,both,Vegetarian,1-3L;3-6L"
"Pineapple cake ,Goa;Kerala;Tamil Nadu;Karnataka;Maharashtra,urban,Vegetarian,3-6L;>6L"
"Chocolate walnut cookies (Chocolate aur akhrot ke cookies),Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Chocolate chip cookies,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Sweet plain biscuit,All Indian States and UTs,both,Vegetarian,1-3L;3-6L;>6L"
"Chocolate biscuit,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Coconut biscuit (Nariyal ke biscuit),Kerala;Goa;Tamil Nadu;Karnataka;Maharashtra,both,Vegetarian,1-3L;3-6L"
"Sweet and salty biscuit (Meethay aur namkeen biscuit),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Peanut biscuit,Maharashtra;Gujarat;Madhya Pradesh;Rajasthan;Uttar Pradesh,both,Vegetarian,1-3L;3-6L"
"Pin wheel biscuit,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
